Time(Jdays) N.O. Mag_max Mag_mean b_lsq a_lsq b_std_lsq std_gr_lsq b_mlk a_mlk b_std_mlk std_gr_mlk dM_lsq dM_mlk Energy x7_lsq x7_mlk zvalue beta T_elaps6 T_elaps65 T_elaps7 T_elaps75 Mag_max_obs 
 64.042060 473  7.8  3.560  0.63054  1.28157  0.30627 17.55269  0.77517  5.00039  0.46290 73.33379  5.767  1.349 1.048098e+13 0.0128 0.0047  3.38420 -18.34276    9.620   60.000   60.000   60.000  5.9 
 94.042060 45  6.2  3.707  0.47316  0.99169  0.11885  6.60479  0.61457  3.49692  0.20050 32.52198  4.104  0.510 4.543949e+11 0.0381 0.0143  0.39531 -0.72488   39.620   90.000   90.000   90.000  4.1 
 124.042060 29  5.9  3.697  0.57339  0.90338  0.16114  9.42180  0.62349  3.33287  0.19053 32.41631  4.324  0.555 2.084046e+11 0.0190 0.0135  0.53160 -1.41643   69.620  120.000  120.000  120.000  4.2 
 154.042060 17  4.2  3.441  1.11901  0.98924  0.33794 21.38607  0.98440  4.18365  0.26153 54.86854  3.316 -0.050 9.339207e+09 0.0004 0.0011  0.20303 -0.53187   99.620  150.000  150.000  150.000  5.0 
 184.042060 21  5.0  3.510  0.57009  0.85784  0.13025  7.11353  0.85235  3.87928  0.29116 47.33492  3.495  0.449 4.017729e+10 0.0195 0.0028 -0.59859  1.74773  129.620  180.000  180.000  180.000  5.4 
 214.042060 31  5.4  3.577  0.56576  0.94344  0.14316  7.69473  0.75213  3.74775  0.25302 40.70107  3.732  0.417 9.169876e+10 0.0201 0.0055 -0.11320  0.80486  159.620  210.000  210.000  210.000  3.5 
 244.042060 36  5.4  3.364  0.57917  0.83814  0.17388  8.47051  1.19348  5.13675  0.73836 97.73776  3.953  1.096 8.275464e+10 0.0183 0.0003 -0.07061  0.61975  189.620  240.000  240.000  240.000  3.7 
 274.042060 26  3.7  3.169  2.13267  1.14725  1.15395 67.27833  2.56629  9.11383  1.67090 332.73836  3.162  0.149 4.437168e+09 0.0000 0.0000  0.82635 -2.11298  219.620  270.000  270.000  270.000  4.3 
 304.042060 22  4.3  3.200  1.04676  0.86972  0.42228 20.48965  2.17147  7.85684  1.81724 256.21617  3.469  0.682 8.354201e+09 0.0007 0.0000 -0.52783  1.93115  249.620  300.000  300.000  300.000  4.9 
 334.042060 23  4.9  3.326  0.70423  0.80729  0.22232 11.09540  1.33184  5.35724  0.79515 110.33396  3.754  0.878 2.742054e+10 0.0077 0.0001  0.37240 -1.23263  279.620  330.000  330.000  330.000  3.6 
 364.042060 14  4.9  3.379  0.60006  0.70307  0.15424  8.43637  1.14719  4.58771  0.56374 82.36909  3.728  0.901 2.634212e+10 0.0158 0.0004  0.12575 -0.35675  309.620  360.000  360.000  360.000  3.8 
 394.042060 15  3.8  3.160  1.38943  0.92672  0.55339 30.79051  2.71434  9.31911  2.11198 368.95463  3.133  0.367 3.876276e+09 0.0001 0.0000 -0.26592  0.96011  339.620  390.000  390.000  390.000  5.8 
 424.042060 26  5.8  3.365  0.47650  0.69941  0.13132  6.96651  1.18860  4.98076  0.81706 103.01040  4.332  1.610 1.661486e+11 0.0372 0.0003 -0.39026  1.81380  369.620  420.000  420.000  420.000  5.0 
 454.042060 26  5.8  3.473  0.49254  0.77242  0.13167  7.03003  0.91802  4.16904  0.45741 63.45395  4.232  1.259 1.691343e+11 0.0333 0.0018  0.38129 -1.32762  399.620  450.000  450.000  450.000  3.7 
 484.042060 18  5.0  3.344  0.63626  0.73423  0.18580  9.81940  1.26085  5.03784  0.72965 101.31954  3.846  1.004 3.196094e+10 0.0123 0.0002  0.00000  0.20226  429.620  480.000  480.000  480.000  3.7 
 514.042060 16  3.7  3.194  1.24487  0.96070  0.37362 23.40181  2.24152  7.92868  1.21134 250.90410  2.928  0.163 4.137495e+09 0.0002 0.0000  0.18218 -0.30988  459.620  510.000  510.000  510.000  5.3 
 544.042060 18  5.3  3.350  0.50987  0.67035  0.13190  6.97543  1.24084  4.97780  0.78117 102.22397  3.985  1.288 5.913406e+10 0.0295 0.0002 -0.25411  1.14614  489.620  540.000  540.000  540.000  3.5 
 574.042060 17  5.3  3.382  0.50812  0.66754  0.12799  6.96206  1.13585  4.63799  0.63956 86.91007  3.986  1.217 5.911918e+10 0.0299 0.0004  0.32648 -1.01749  519.620  570.000  570.000  570.000  5.9 
 604.042060 123  5.9  3.521  0.60325  1.26151  0.19733  9.44845  0.83336  4.58998  0.37659 55.01758  3.809  0.392 2.996980e+11 0.0155 0.0032 -2.43441 10.54862  549.620  600.000  600.000  600.000  5.1 
 634.042060 153  5.9  3.512  0.65050  1.31625  0.23070 10.93047  0.84862  4.73056  0.39262 57.52233  3.877  0.326 3.024161e+11 0.0112 0.0028  1.75566 -5.96622  579.620  630.000  630.000  630.000  3.8 
 664.042060 48  5.1  3.367  0.92078  1.00613  0.39678 19.26950  1.18444  5.23456  0.65655 94.84561  4.007  0.681 4.066974e+10 0.0017 0.0003  1.75378 -3.13775  609.620  660.000  660.000  660.000  5.3 
 694.042060 42  5.3  3.379  0.76550  0.92895  0.29128 14.30780  1.14719  5.06483  0.65417 91.41265  4.086  0.885 6.059502e+10 0.0051 0.0004 -1.29445  3.08957  639.620  690.000  690.000  690.000  4.1 
